Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip,iter,PSA set,cost_RBC_unit,cost_PLT_unit,cost_FFP_unit,QALYL_RBC_unit,QALYL_PLT_unit,QALYL_FFP_unit,cost_RBC_donation,cost_PLT_donation,cost_FFP_donation,QALYL_RBC_donation,QALYL_PLT_donation,QALYL_FFP_donation,cost_per_donation,QALYL_per_donation,NMC_per_donation,Compare,,,,,Time,310,min,,,
4445313.977,412139.6505,2297114.2,59932359855,5712647378,29472733605,131033.2549,7480.73246,46651.95602,1215980.687,131148.6654,652637.5282,19986.98777,1550.446756,9122.823809,64647.86615,4136.704765,26615.52576,97441.06178,8493.325258,46992.47561,2.00E+06,0,1,13482.14325,13860.9507,12830.33016,0.029476715,0.018150965,0.020308941,12727.14323,207.9142605,6941.208618,0.027826019,0.000272264,0.010987137,19876.26611,0.039085421,58961.68681,0.60%,,,,,Scenarios,20,,,,
4444871.284,411970.8304,2296167.091,59867808904,5786938734,29440158509,130361.0801,7596.746784,45671.35266,1221626.553,130508.5389,657075.0842,19991.07542,1512.022819,9052.107413,63775.96978,4178.398825,26575.46676,96626.80132,8541.559563,46219.50044,2.00E+06,1,1,13468.96346,14046.96232,12821.43561,0.029328426,0.018440011,0.019890257,12714.7015,210.7044349,6936.396666,0.027686034,0.0002766,0.010760629,19861.80261,0.038723263,58585.06608,,,,,,Time per,15.5,min,,,
4444162.894,412857.4423,2300502.047,51488286891,6136226624,27130255926,98383.1889,6349.823938,33862.29938,1399712.511,155438.3166,753652.8337,16888.95561,1362.414722,7441.980924,71280.49179,4746.582582,29659.60089,21983.80622,4527.07562,13915.1881,2.00E+06,0,2,11585.59848,14862.82187,11793.18922,0.02213762,0.015380185,0.014719526,10936.80497,222.9423281,6380.115365,0.020897913,0.000230703,0.007963263,17539.86266,0.029091879,46631.74211,1.10%,,,,,Time for 10K,155000,min,2583.333333,hours,107.6388889
4448719.401,413290.7336,2298419.796,51843965063,6151972157,27483901258,99066.59761,6232.824749,34891.81835,1402770.484,156687.9121,753414.1147,17164.46342,1446.620372,7633.691847,73304.28876,4998.382003,30298.09228,22418.73249,4512.768835,14930.56109,2.00E+06,1,2,11653.68287,14885.33775,11957.73779,0.022268565,0.015080969,0.015180786,11001.07663,223.2800662,6469.136145,0.021021525,0.000226215,0.008212805,17693.49284,0.029460545,47154.03789,,,,,,With 200  jobs,775,min,12.91666667,hours,
4445598.069,412465.4364,2295865.422,44231034670,4402488941,21846971713,130411.0747,7978.923794,46544.49582,1334854.539,151113.5798,721949.4063,22455.52137,1963.708468,10919.75604,80268.83182,5790.160375,34181.77133,83699.59893,8115.626127,40802.95155,2.00E+06,0,3,9949.400279,10673.59481,9515.789342,0.029334877,0.019344466,0.020273181,9392.233863,160.1039221,5148.042034,0.027692124,0.000290167,0.010967791,14700.37982,0.038950082,53650.46221,0.40%,,,,,Iters per job,50,,,,
4447085.975,412452.7647,2296895.919,44696747086,4424542656,21759567581,131623.5706,8055.589453,46131.21903,1340152.546,152184.9536,726255.3399,21889.79021,2059.768311,10134.10914,80246.34973,5732.524469,34669.83709,85814.55055,8168.765615,40366.79898,2.00E+06,1,3,10050.79446,10727.39241,9473.466951,0.029597712,0.019530938,0.020084157,9487.949972,160.9108861,5125.145621,0.02794024,0.000292964,0.010865529,14774.00648,0.039098733,53872.73993,,,,,,Conservative time per job,1050,min,17.5,hours,
4445597.252,410031.6479,2298310.247,39317367098,4055081636,20046647466,87718.73771,4822.002552,29327.95153,1251628.699,136613.8573,673000.58,20446.03119,1611.352785,9459.237645,55251.16959,3681.748994,22810.32965,28636.87013,2564.593448,12630.43879,2.00E+06,0,4,8844.113597,9889.67963,8722.341769,0.019731598,0.011760074,0.012760658,8348.843235,148.3451944,4718.786897,0.018626628,0.000176401,0.006903516,13215.97533,0.025706546,38922.52102,0.10%,,,,,,,,,,
4443647.441,412249.1996,2298255.473,39126592461,4088475071,20129013091,87156.51989,5061.809289,29945.79909,1244456.503,135292.7279,669955.2786,20729.30554,1725.807067,9509.515776,54922.93106,3599.995935,22751.87621,28859.64722,2839.69249,13450.42197,2.00E+06,1,4,8805.062278,9917.484558,8758.387973,0.019613734,0.012278518,0.013029796,8311.97879,148.7622684,4738.287893,0.018515365,0.000184178,0.007049119,13199.02895,0.025748662,38947.69126,,,,,,,,,,,
4445853.547,410739.6294,2298368.292,33054996581,3584828058,17382426474,72029.88645,4289.031228,25263.64321,1264045.354,131205.4837,669813.437,8337.585681,543.6578397,3057.564392,23884.15607,1041.942732,7361.045396,14770.73386,2479.570267,9572.056866,2.00E+06,0,5,7435.016972,8727.738453,7562.942169,0.016201588,0.010442214,0.010991991,7018.656022,130.9160768,4091.551713,0.015294299,0.000156633,0.005946667,11241.12381,0.021397599,32638.72292,1.10%,,,,,,,,,,
4441712.755,411635.6429,2296624.499,32889832512,3623876614,17142585047,71373.85324,4326.15286,24630.5107,1261774.254,131067.7298,668012.4171,9050.063587,691.2221105,3470.826103,23459.44893,1072.600129,6954.32393,14670.99513,2640.623793,9404.054331,2.00E+06,1,5,7404.763506,8803.602595,7464.252451,0.016068993,0.010509665,0.010724657,6990.096749,132.0540389,4038.160576,0.01516913,0.000157645,0.00580204,11160.31136,0.021128814,32289.12578,,,,,,,,,,,
4438785.178,410529.524,2295750.15,49456003433,5352836029,26530025577,101702.9862,6976.836265,38688.31721,1514551.85,162026.3868,795526.7503,13407.09285,1333.392386,7301.365664,44436.875,3976.877536,23252.61369,19918.72396,3030.177117,14008.38659,2.00E+06,0,6,11141.788,13038.85766,11556.14672,0.022912347,0.016994725,0.016852146,10517.84787,195.5828649,6251.875378,0.021629256,0.000254921,0.009117011,16965.30612,0.031001188,47966.49365,0.20%,,,,,,,,,,
4449957.551,413817.632,2301587.727,49470439953,5364638268,26574757572,102519.3077,7169.43663,38859.41749,1511387.598,161613.9427,797322.865,13405.45778,1423.32075,7296.46048,43979.05787,3921.694221,22819.73125,20921.83399,3191.230642,14495.22606,2.00E+06,1,6,11117.05884,12963.77402,11546.27184,0.023038266,0.017325112,0.016883744,10494.50355,194.4566103,6246.533068,0.021748124,0.000259877,0.009134105,16935.49323,0.031142106,48077.59881,,,,,,,,,,,
4442185.288,412624.8549,2298656.471,53599714983,5591630899,27755922865,131602.9553,8110.342734,48303.6882,1465396.597,165403.1969,791691.7143,21975.63092,1933.868601,9919.0986,79486.45505,5270.619688,32366.0359,54240.29302,5118.150234,27644.388,2.00E+06,0,7,12066.06918,13551.36714,12074.84599,0.029625724,0.019655488,0.021013879,11390.3693,203.2705071,6532.491678,0.027966683,0.000294832,0.011368508,18126.13149,0.039630024,57756.15562,0.80%,,,,,,,,,,
4442855.663,412838.6391,2295203.631,53663279612,5621618011,27762947902,132915.5986,8328.939949,48826.33796,1461363.719,166371.5619,785569.2277,21433.19937,1837.399992,10043.36325,79647.50858,5531.82071,33079.33134,55018.99091,5109.566163,28339.289,2.00E+06,1,7,12078.5557,13616.9861,12096.07179,0.029916704,0.020174807,0.021273205,11402.15659,204.2547915,6543.974841,0.028241369,0.000302622,0.011508804,18150.38622,0.040052795,58203.18111,,,,,,,,,,,
4449847.184,413655.761,2298395.679,30370485383,3689652452,16288296999,115526.0038,8311.740279,45294.62695,1211395.567,131309.7189,642471.1266,23040.46451,2123.126932,11316.66714,56253.46209,4737.589746,27049.22573,69936.06274,9864.324051,42466.21752,2.00E+06,0,8,6825.062552,8919.620612,7086.81153,0.025961791,0.020093375,0.019707062,6442.85905,133.7943092,3833.965038,0.024507931,0.000301401,0.010661521,10410.6184,0.035470852,45881.4707,0.70%,,,,,,,,,,
4442915.343,412683.7171,2292190.213,30101629981,3702412031,16500334218,116240.2815,8478.350267,45626.73896,1209109.751,130602.9637,635504.5397,23259.15394,2081.841637,11336.69664,56179.88434,4600.653373,27087.64967,69336.81283,10088.32743,43150.49062,2.00E+06,1,8,6775.197738,8971.548616,7198.501295,0.026163065,0.020544426,0.019905302,6395.786665,134.5732292,3894.389201,0.024697933,0.000308166,0.010768769,10424.74909,0.035774868,46199.61705,,,,,,,,,,,
4446326.08,412155.1836,2298282.86,66670751834,6751267467,34818797044,131721.276,7734.724583,47389.05214,1490564.276,161065.3796,797976.0719,20591.9604,1475.233942,8969.128059,78445.73861,4773.152326,31259.09949,33285.34904,3651.909128,20128.82932,2.00E+06,0,9,14994.57094,16380.40169,15149.91808,0.029624745,0.018766535,0.02061933,14154.87497,245.7060254,8196.105679,0.027965759,0.000281498,0.011155057,22596.68667,0.039402315,61999.00129,0.40%,,,,,,,,,,
4445529.397,414322.8659,2298615.186,66794398905,6851116433,34539035954,132869.2846,8278.95651,47568.36203,1488779.198,162597.8407,791228.5832,20678.61864,1673.076344,9728.613973,78767.84567,4989.797932,31610.63764,34232.86699,3767.18094,20049.12009,2.00E+06,1,9,15025.07192,16535.69474,15026.01922,0.029888293,0.019981896,0.020694356,14183.66789,248.035421,8129.076395,0.028214548,0.000299728,0.011195647,22560.77971,0.039709924,62270.70347,,,,,,,,,,,
4445624.639,413552.7521,2298100.142,47271684281,5328424931,25013102738,103363.9712,6638.677111,37028.39294,1435307.384,153038.8643,759001.5275,15352.40687,1277.391541,6974.353429,14483.37186,1067.28618,5659.764247,33934.05956,5362.591879,21168.31946,2.00E+06,0,10,10633.30536,12884.51087,10884.25273,0.023250719,0.016052794,0.016112611,10037.84026,193.2676631,5888.380726,0.021948679,0.000240792,0.008716922,16119.48864,0.030906393,47025.88209,1.20%,,,,,,,,,,
4445363.438,412949.8233,2300073.661,47164948334,5372593293,25081856789,104914.4122,7027.580225,38079.63009,1433588.934,151280.7648,758524.4984,15611.56407,1353.421885,7235.963217,14002.25511,984.7155908,5511.382446,33815.10886,5658.946716,21558.69032,2.00E+06,1,10,10609.91952,13010.28113,10904.80588,0.023600863,0.017018,0.016555831,10015.76403,195.1542169,5899.499983,0.022279214,0.00025527,0.008956704,16110.41823,0.031491189,47601.60703,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49231.77534,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iter per job,46,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot iters,10000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot jobs,217.3913043,,,,,,,,,,,,,,,,,,
