"","z1","z2","z3","z4","z5","m11","m12","m13","m14","m15","m21","m22","m23","m24","m25","a11","a12","a13","a14","a15","a21","a22","a23","a24","a25","a31","a32","a33","a34","a35","obj_cost","","","","","","",""
"1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6398500.795536,96983.65202976,1410000,0,0.001,0.000138383178217064,8.02935158842242e-06,1.3232192789026e-05
"2",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6417811.195536,96983.65202976,1410000,24000,0.000991947838799055,0.000138383178217064,7.063092244309e-06,1.30711495650071e-05
"3",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,6423215.50230816,96984.7753179456,1446000,0,0.001,0.000138386208291466,9.48423257229457e-06,1.09771333135013e-05
"4",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6431236.04238144,96967.3370507904,1566000,0,0.001,9.13578164014988e-05,8.03002953615642e-06,1.32310540897931e-05
"5",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,6435457.6224496,96979.179850336,1462000,0,0.001,0.000132531134806499,8.02603267344031e-06,1.32323418410814e-05
"6",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,6442525.90230816,96984.7753179456,1446000,24000,0.000991947932060059,0.000138386208291466,8.51798441950166e-06,1.08160919547025e-05
"7",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,6443283.83494698,96891.8435003535,1478000,0,0.001,0.000138372170857871,5.06489240124911e-06,1.28692872178293e-05
"8",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6444391.355536,96983.65202976,1410000,48000,0.000983841161132279,0.000138383178217064,7.64153945559712e-06,1.21010740682856e-05
"9",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6450546.44238144,96967.3370507904,1566000,24000,0.000991946484004289,9.13578164014988e-05,7.06360761667115e-06,1.30699837698789e-05
"10",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6453698.395536,97225.95602976,1242000,0,0.001,0.000139035172858967,3.22103806880292e-05,1.32490593422122e-05
"11",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,6454768.0224496,96979.179850336,1462000,24000,0.000991956690443052,0.000132531134806499,7.06083552660653e-06,1.30714756499424e-05
"12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,6455950.9829548,96968.4587803013,1602000,0,0.001,9.13568983916047e-05,9.48313618728595e-06,1.09787448236583e-05
"13",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6458150.395536,97225.95602976,1242000,72000,0.000975315233729711,0.000139035172858967,2.48049508069426e-05,1.22616686914006e-05
"14",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,6460172.32922176,96980.3031385216,1498000,0,0.001,0.000132534232802758,9.48098078658188e-06,1.09771783733264e-05
"15",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6463701.755536,96983.65202976,1410000,72000,0.000975788999931334,0.000138383178217064,6.6752801114837e-06,1.19400308442667e-05
"16",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,6467998.54171914,96892.9667885391,1514000,0,0.001,0.000138375203930954,6.52118628876236e-06,1.06120952237794e-05
"17",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,6468192.86929504,96962.8648713664,1618000,0,0.001,8.55026193937181e-05,8.02671009400214e-06,1.32312031144082e-05
"18",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,6469106.06230816,96984.7753179456,1446000,48000,0.000983841348285704,0.000138386208291466,9.09642493115145e-06,9.84602769350054e-06
"19",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6471044.795536,93079.01202976,1354000,0,0.001,0.000137895855607838,5.01020187372699e-06,1.33677824238591e-05
"20",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6473008.795536,97225.95602976,1242000,24000,0.000991967906185865,0.000139035172858967,3.1246529430333e-05,1.30884174659295e-05
"21",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,6474140.82694698,96891.8435003535,1478000,24000,0.000992129716325235,0.000138372170857871,4.98933767797137e-06,1.28582688206846e-05
"22",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,6475261.3829548,96968.4587803013,1602000,24000,0.000991946577167228,9.13568983916047e-05,8.51672544735329e-06,1.08176763670029e-05
"23",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,6476019.08179242,96875.5285213839,1634000,0,0.001,9.13022414516685e-05,5.06507174166043e-06,1.28680863218873e-05
"24",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6477126.60238144,96967.3370507904,1566000,48000,0.000983838442370227,9.13578164014988e-05,7.64215215304187e-06,1.2099745055709e-05
"25",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6477460.795536,97225.95602976,1242000,96000,0.000967283139915576,0.000139035172858967,2.38410995492464e-05,1.21010268151179e-05
"26",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,6479482.72922176,96980.3031385216,1498000,24000,0.000991956783605831,0.000132534232802758,8.51579481928165e-06,1.0816314045443e-05
"27",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,6480224.88892571,96887.4764738286,1530000,0,0.001,0.000132652315456333,5.06483222370595e-06,1.28698357262847e-05
"28",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6480815.755536,96983.65202976,1410000,72000,0.000975753241388782,0.000138383178217064,7.88387103675511e-06,1.22623224445773e-05
"29",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,6481348.1824496,96979.179850336,1462000,48000,0.00098384041597,0.000132531134806499,7.6382026567203e-06,1.21011709589814e-05
"30",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,6482838.04507296,96975.057032847,1514000,0,0.001,0.000130557445909108,8.02864514183101e-06,1.3230263486363e-05
"31",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,6486484.075536,97209.30482976,1398000,0,0.001,9.11602835149899e-05,3.21816396275517e-05,1.32479029584351e-05
"32",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,6487503.26929504,96962.8648713664,1618000,24000,0.000991955337075178,8.55026193937181e-05,7.06135054302351e-06,1.30703098559118e-05
"33",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,6488416.46230816,96984.7753179456,1446000,72000,0.000975789280345762,0.000138386208291466,8.13017677835854e-06,9.68498633470172e-06
"34",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,6489174.39494698,96891.8435003535,1478000,48000,0.000983825850047468,0.000138372170857871,4.67671280238834e-06,1.1737096721152e-05
"35",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,6490655.2224496,97221.483850336,1294000,0,0.001,0.000133197744421423,3.22081823698828e-05,1.32492087986467e-05
"36",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,6490936.075536,97209.30482976,1398000,72000,0.000975345263869573,9.11602835149899e-05,2.47852187884236e-05,1.2261713513218e-05
"37",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,6492907.8098684,96963.9866008773,1654000,0,0.001,8.55017690774286e-05,9.47988380381407e-06,1.0978789965392e-05
"38",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,6495107.2224496,97221.483850336,1294000,72000,0.000975314098232705,0.000133197744421423,2.48024118396945e-05,1.22617727279549e-05
"39",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6495759.50230816,93080.1353179456,1390000,0,0.001,0.000137899018672522,6.52615042954298e-06,1.10181233035588e-05
"40",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6496437.00238144,96967.3370507904,1566000,72000,0.000975784926374516,9.13578164014988e-05,6.6757302335566e-06,1.19386747357948e-05
"41",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,6498481.43494698,97134.1475003535,1310000,0,0.001,0.000139024809205392,2.92761716766764e-05,1.28870749914849e-05
"42",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,6498855.53371914,96892.9667885391,1514000,24000,0.000992129807566085,0.000138375203930954,6.44563244139678e-06,1.0601076954372e-05
"43",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6499588.955536,97225.95602976,1242000,48000,0.000983881431770418,0.000139035172858967,3.18235350505193e-05,1.21207595661414e-05
"44",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6500126.155536,96983.65202976,1410000,96000,0.000967701080187836,0.000138383178217064,6.91761169264169e-06,1.21012792205584e-05
"45",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,6500658.5824496,96979.179850336,1462000,72000,0.000975797106413052,0.000132531134806499,6.67300550988653e-06,1.19403047678424e-05
"46",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,6500734.02236578,96876.6502508948,1670000,0,0.001,9.13013232152897e-05,6.51958981096981e-06,1.06136467792689e-05
"47",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,6501069.2802432,96984.961331712,1422000,24000,0.000991945247493387,0.000138383335044754,1.38297450006287e-05,1.28463265091908e-05
"48",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,6501841.5429548,96968.4587803013,1602000,48000,0.000983838629326855,9.13568983916047e-05,9.09526329113048e-06,9.84744887653819e-06
"49",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,6502148.44507296,96975.057032847,1514000,24000,0.000991947125127903,0.000130557445909108,7.06230015717935e-06,1.3069205988921e-05
"50",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,6502933.43494698,97134.1475003535,1310000,72000,0.000975291902366351,0.000139024809205392,2.18637423865817e-05,1.1898751086139e-05
"51",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,6503780.04238144,93062.6970507904,1510000,0,0.001,8.88973609986097e-05,5.01037897392768e-06,1.33666197185679e-05
"52",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6504040.955536,97225.95602976,1242000,120000,0.000959196665500129,0.000139035172858967,2.44181051694326e-05,1.11333689153299e-05
"53",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6504815.795536,97983.65202976,1410000,6000,0.00106327586155002,0.000137991447786304,9.37621553641545e-06,1.31583825907e-05
"54",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,6504939.59569787,96888.5997620142,1566000,0,0.001,0.00013265541497987,6.52119175095026e-06,1.06125419882374e-05
"55",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,6505794.475536,97209.30482976,1398000,24000,0.000991966530350488,9.11602835149899e-05,3.12176232696103e-05,1.30872335654449e-05
"56",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,6506062.88922176,96980.3031385216,1498000,48000,0.000983840603140686,0.000132534232802758,9.09315526195833e-06,9.8460205931744e-06
"57",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,6506704.575536,97963.46002976,1424000,6000,0.00106201097427709,0.000137999278494953,7.97704881635217e-06,1.31598580598313e-05
"58",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,6506876.07379242,96875.5285213839,1634000,24000,0.000992128390876852,9.13022414516685e-05,4.98950429407821e-06,1.28570660691149e-05
"59",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,6507552.75184512,96976.1803210326,1550000,0,0.001,0.000130560566898578,9.48365507995839e-06,1.09750041673096e-05
"60",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,6509940.92848484,97963.5627434344,1427000,6000,0.00106201740988834,0.000137999238653144,8.06106697586639e-06,1.31040348839026e-05
"61",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,6509965.6224496,97221.483850336,1294000,24000,0.000991976736692108,0.000133197744421423,3.12453907729358e-05,1.30887435324889e-05
"62",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,6510246.475536,97209.30482976,1398000,96000,0.000967311794220061,9.11602835149899e-05,2.38212024304822e-05,1.21010441202278e-05
"63",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,6511081.88092571,96887.4764738286,1530000,24000,0.000992138376222241,0.000132652315456333,4.98936063543946e-06,1.28588294529958e-05
"64",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,6511566.22230816,96984.7753179456,1446000,72000,0.00097575120579568,0.000138386208291466,8.90226151139088e-06,1.09092366897292e-05
"65",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,6511739.2002432,96984.961331712,1422000,0,0.001,0.000138383335044754,1.7696026203803e-05,1.28576031627001e-05
"66",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,6512218.2098684,96963.9866008773,1654000,24000,0.000991955430139996,8.55017690774286e-05,8.51453542061365e-06,1.08178985681919e-05
"67",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,6512960.13577115,96871.161494859,1686000,0,0.001,8.55793007670981e-05,5.06501156206701e-06,1.28686348685848e-05
"68",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6513551.00238144,96967.3370507904,1566000,72000,0.000975782812278571,9.13578164014988e-05,7.88472640982785e-06,1.2262366580936e-05
"69",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,6513889.10171914,96892.9667885391,1514000,48000,0.000983826037555727,0.000138375203930954,6.13301119009982e-06,9.47991785268034e-06
"70",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,6514083.42929504,96962.8648713664,1618000,48000,0.00098383769695717,8.55026193937181e-05,7.63881482097422e-06,1.20998419014101e-05
"71",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,6514417.6224496,97221.483850336,1294000,96000,0.000967290834924814,0.000133197744421423,2.38396202427475e-05,1.21013074617971e-05
"72",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,6515361.330536,97982.55512976,1423000,6000,0.00106320716184425,0.000137002986853104,9.37475322275167e-06,1.31584627277188e-05
"73",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,6515573.2919184,96958.7420538774,1670000,0,0.001,8.35265986727707e-05,8.02932303079051e-06,1.32291243615506e-05
"74",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6516935.355536,93079.01202976,1354000,48000,0.00098316330210455,0.000137895855607838,4.60612112423619e-06,1.21892135711777e-05
"75",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,6517246.78824528,97962.3852783648,1437000,6000,0.00106194363401939,0.000137030577242248,7.97710561407533e-06,1.31599366110775e-05
"76",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,6517772.5824496,96979.179850336,1462000,72000,0.000975752123253372,0.000132531134806499,7.88054541296054e-06,1.22624267712163e-05
"77",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6518899.355536,97225.95602976,1242000,72000,0.000975849337956283,0.000139035172858967,3.08596837928231e-05,1.19601176898587e-05
"78",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,6519794.87198656,96970.584853423,1566000,0,0.001,0.000124704522887739,8.025325900096e-06,1.32304124626522e-05
"79",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,6520031.38694698,96891.8435003535,1478000,72000,0.000975955566372703,0.000138372170857871,4.6011580791106e-06,1.17260783240074e-05
"80",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,6520391.30824694,96825.4332516871,1522000,0,0.001,0.000138445898716752,6.77302606450371e-06,1.31966228386258e-05
"81",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,6520483.15809411,97962.4878793726,1440000,6000,0.00106195006271248,0.000137030436865328,8.06103253486378e-06,1.31041740556769e-05
"82",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,6521151.9429548,96968.4587803013,1602000,72000,0.000975785206494083,9.13568983916047e-05,8.12885255119782e-06,9.68638041988275e-06
"83",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,6521909.64179242,96875.5285213839,1634000,48000,0.000983823126130289,9.13022414516685e-05,4.67682676878737e-06,1.17357051510076e-05
"84",1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6523351.355536,97225.95602976,1242000,144000,0.000951164571685994,0.000139035172858967,2.34542539117364e-05,1.09727270390472e-05
"85",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,6523440.9024496,97204.832650336,1450000,0,0.001,8.53196525074201e-05,3.21794396105205e-05,1.32480523872689e-05
"86",1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6524126.195536,97983.65202976,1410000,30000,0.00105530587896799,0.000137991447786304,8.41981762657292e-06,1.29989829390596e-05
"87",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,6525373.28922176,96980.3031385216,1498000,72000,0.000975797386746517,0.000132534232802758,8.1279692946581e-06,9.68515626529103e-06
"88",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,6525598.79494698,96891.8435003535,1478000,72000,0.000975730266707214,0.000138372170857871,4.91927400149239e-06,1.18984978861178e-05
"89",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,6525697.68045442,97943.7763863039,1441000,6000,0.00106077742997262,0.000138006915164449,7.95283719978097e-06,1.31065972809566e-05
"90",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,6525783.98701536,96986.0846198976,1458000,24000,0.000991945340783144,0.000138386365076434,1.52845391638818e-05,1.05913019458169e-05
"91",1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,6526014.975536,97963.46002976,1424000,30000,0.00105403934894084,0.000137999278494953,7.02045377600211e-06,1.30004255531063e-05
"92",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,6526115.44892571,96887.4764738286,1530000,48000,0.000983825121027119,0.000132652315456333,4.67663512835682e-06,1.17375941981831e-05
"93",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6526242.395536,93321.31602976,1186000,0,0.001,0.0001385763955456,3.02108240262823e-05,1.33850026358743e-05
"94",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6526706.315536,96983.65202976,1410000,120000,0.000959594402521061,0.000138383178217064,7.49605890392981e-06,1.11312037238368e-05
"95",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,6526863.15184512,96976.1803210326,1550000,24000,0.00099194721840544,0.000130560566898578,8.51732128861112e-06,1.08139485354184e-05
"96",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,6527621.08448394,96883.2485034404,1582000,0,0.001,0.000130539021750891,5.06392229323243e-06,1.2867323891754e-05
"97",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,6527892.9024496,97204.832650336,1450000,72000,0.000975344129559677,8.53196525074201e-05,2.47826784784235e-05,1.2261817569656e-05
"98",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,6528494.9829548,93063.8187803013,1546000,0,0.001,8.88964341288522e-05,6.52448941428293e-06,1.10198096138027e-05
"99",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,6528728.60507296,96975.057032847,1514000,48000,0.000983857455159432,0.000130557445909108,7.64122406565737e-06,1.21002853475232e-05
"100",1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,6529251.32848484,97963.5627434344,1427000,30000,0.00105404579291024,0.000137999238653144,7.10447293849528e-06,1.29446025443407e-05
"101",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,6529338.42694698,97134.1475003535,1310000,24000,0.000992149348980327,0.000139024809205392,2.92008054268876e-05,1.28760840800574e-05
